"Task_ID","Category","Subcategory","Task_Name","Status","Priority","Dependency","Owner","Source_File","Notes"
"TASK-1108","Operations","06_Operational_Checklists","Hallway and main walkway are fully clear.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1109","Operations","06_Operational_Checklists","Home smell is neutral and fresh (no food or chemical odor).","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1110","Operations","06_Operational_Checklists","Great room is reset (pillows straight, surfaces clean, remote visible).","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1111","Operations","06_Operational_Checklists","TV powers on and volume is at a normal level.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1112","Operations","06_Operational_Checklists","Kitchen counters and sink are spotless.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1113","Operations","06_Operational_Checklists","Bar stools are aligned and stable.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1114","Operations","06_Operational_Checklists","Coffee setup is stocked and ready.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1115","Operations","06_Operational_Checklists","Fridge is clean, cold, and empty of old items.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1116","Operations","06_Operational_Checklists","Primary bed is fully reset and wrinkle-free.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1117","Operations","06_Operational_Checklists","Secondary bedrooms are clean and staged.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1118","Operations","06_Operational_Checklists","Den is reset (desk clear, sofa/sleeper in proper position).","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1119","Operations","06_Operational_Checklists","All bathrooms are clean, dry, and fully restocked.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1120","Operations","06_Operational_Checklists","Fresh towel sets are placed correctly.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1121","Operations","06_Operational_Checklists","HVAC is set for arrival comfort.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1122","Operations","06_Operational_Checklists","Lights work in key guest zones.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1123","Operations","06_Operational_Checklists","Smoke detector and fire extinguisher are present and accessible.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1124","Operations","06_Operational_Checklists","Wi-Fi is online and stable.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1125","Operations","06_Operational_Checklists","Patio seating is straight and clean.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1126","Operations","06_Operational_Checklists","Fire pit area is tidy and safe.","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1127","Operations","06_Operational_Checklists","Quick final photos taken (entry, great room, primary bed, patio).","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1128","Operations","06_Operational_Checklists","GO: All items marked `Yes`","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1129","Operations","06_Operational_Checklists","NO-GO: At least one `No` still open","Not Started","UNKNOWN","None","Owner","05_Operations\06_Operational_Checklists\2026-04-01__Turnover_Day_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1130","Marketing_Listing","03_Channel_Setup","All rooms marked `approved_for_photos = Yes` in [Readiness Approvals](../../02_Property_Design/05_Approvals/2026-04-01__05_Photo_Readiness_Approvals__v1.csv).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1131","Marketing_Listing","03_Channel_Setup","No unresolved room notes from [Staging Log](../../04_Setup_Execution/03_Furniture_and_Staging_Execution/2026-04-01__Staging_Execution_Log__v1.md).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1132","Marketing_Listing","03_Channel_Setup","Shoot executed per the [Professional Shotlist](../01_Photos_Video/2026-04-01__01_Photo_Shotlist__v1.md).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1133","Marketing_Listing","03_Channel_Setup","**142"" Island** and **158"" Hallway** scale captured in wide-angle.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1134","Marketing_Listing","03_Channel_Setup","Minimum 2 twilight shots delivered (Patio + Interior).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1135","Marketing_Listing","03_Channel_Setup","White balance consistent across the **300"" Great Room** and Bedrooms.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1136","Marketing_Listing","03_Channel_Setup","Final set trimmed to 25-35 ""Magazine Quality"" images.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1137","Marketing_Listing","03_Channel_Setup","Filenames normalized: `YYYY-MM-DD__Area__Shot_Name__v1.jpg`.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1138","Marketing_Listing","03_Channel_Setup","Copy updated to include the **300""**, **142""**, and **158""** measurements per [Airbnb Copy Master](../02_Listing_Copy/2026-04-01__02_Airbnb_Listing_Copy__v1.md).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1139","Marketing_Listing","03_Channel_Setup","No feature mentioned in copy without a corresponding photo.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1140","Marketing_Listing","03_Channel_Setup","Airbnb hero shot sequence set (Top 5 priority).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1141","Marketing_Listing","03_Channel_Setup","Austin STR License number displayed in [House Rules](../../06_Guest_Experience/01_House_Manual/2026-04-01__House_Manual_Master__v1.md).","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1142","Marketing_Listing","03_Channel_Setup","Final self-audit pass complete on both platforms.","Not Started","UNKNOWN","None","Owner","07_Marketing_Listing\03_Channel_Setup\2026-04-01__03_Photo_to_Publish_Launch_Checklist__v1.md","Granular task from checklist"
"TASK-1143","Legal_Compliance","04_Regulations_HOA","True","True","True","True","True","09_Legal_Compliance\04_Regulations_HOA\2026-04-01__04_Regulations_HOA_Tracker__v1.csv","True"
"TASK-1144","Legal_Compliance","04_Regulations_HOA","True","True","True","True","True","09_Legal_Compliance\04_Regulations_HOA\2026-04-01__04_Regulations_HOA_Tracker__v1.csv","True"
"TASK-1145","Legal_Compliance","04_Regulations_HOA","True","True","True","True","True","09_Legal_Compliance\04_Regulations_HOA\2026-04-01__04_Regulations_HOA_Tracker__v1.csv","True"
"TASK-1146","Legal_Compliance","04_Regulations_HOA","True","True","True","True","True","09_Legal_Compliance\04_Regulations_HOA\2026-04-01__04_Regulations_HOA_Tracker__v1.csv","True"
"TASK-1147","Legal_Compliance","04_Regulations_HOA","True","True","True","True","True","09_Legal_Compliance\04_Regulations_HOA\2026-04-01__04_Regulations_HOA_Tracker__v1.csv","True"
"TASK-1148","Legal_Compliance","05_Policies_Contracts","True","True","True","True","True","09_Legal_Compliance\05_Policies_Contracts\2026-04-01__05_Policies_Contracts_Tracker__v1.csv","True"
"TASK-1149","Legal_Compliance","05_Policies_Contracts","True","True","True","True","True","09_Legal_Compliance\05_Policies_Contracts\2026-04-01__05_Policies_Contracts_Tracker__v1.csv","True"
"TASK-1150","Legal_Compliance","05_Policies_Contracts","True","True","True","True","True","09_Legal_Compliance\05_Policies_Contracts\2026-04-01__05_Policies_Contracts_Tracker__v1.csv","True"
"TASK-1151","Legal_Compliance","05_Policies_Contracts","True","True","True","True","True","09_Legal_Compliance\05_Policies_Contracts\2026-04-01__05_Policies_Contracts_Tracker__v1.csv","True"
"TASK-1152","Legal_Compliance","05_Policies_Contracts","True","True","True","True","True","09_Legal_Compliance\05_Policies_Contracts\2026-04-01__05_Policies_Contracts_Tracker__v1.csv","True"
"TASK-1153","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Austin STR License:** Confirm Type 1 vs Type 2 requirements for the 78744 zip code.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1154","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Certificate of Occupancy:** Verify home's CO status for STR use.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1155","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**License Display:** Acrylic frame for 60"" entry display prepared.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1156","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Austin HOT Registration:** Confirm 11% city/county tax registration is active.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1157","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Texas Sales Tax Permit:** Confirm 6% state lodging tax registration.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1158","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Filing Cadence:** Documented in [Tax Tracker](./03_Tax_Documents/2026-04-01__03_Tax_Documents_Tracker__v1.csv).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1159","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**STR Commercial Policy:** Confirm $1M liability + loss of income coverage.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1160","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Fire Marshall Requirements:** Verify fire extinguishers in [Guest Safety Guide](../../06_Guest_Experience/01_House_Manual/2026-04-01__Guest_Safety_Emergency_Guide__v1.md).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1161","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Egress Paths:** Verify 36"" clearance in the 158"" Hallway per city ordinance.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1162","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**HOA/CC&Rs:** Review for STR prohibitions or restrictions (Verified Source only).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1163","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Occupancy Cap:** Confirm ""Unrelated Adult"" limit (Austin Code 25-2-511).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1164","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","**Parking:** Verify driveway capacity (Max 2 vehicles).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1165","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","All high-risk items verified by an official source (Austin City Portal).","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1166","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","License number added to listing.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1167","Legal_Compliance","2026-04-01__Legal_Research_Quick_Checklist__v1.md","Tax collection verified on Airbnb/VRBO platforms.","Not Started","UNKNOWN","None","Owner","09_Legal_Compliance\2026-04-01__Legal_Research_Quick_Checklist__v1.md","Granular task from checklist"
"TASK-1168","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1169","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1170","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1171","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1172","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1173","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1174","Maintenance","01_Preventive_Maintenance","True","True","True","True","True","10_Maintenance\01_Preventive_Maintenance\2026-04-01__01_Preventive_Maintenance_Tracker__v1.csv","True"
"TASK-1175","Maintenance","02_Repair_Tickets","True","True","True","True","True","10_Maintenance\02_Repair_Tickets\2026-04-01__02_Repair_Tickets_Tracker__v1.csv","True"
"TASK-1176","Maintenance","02_Repair_Tickets","True","True","True","True","True","10_Maintenance\02_Repair_Tickets\2026-04-01__02_Repair_Tickets_Tracker__v1.csv","True"
"TASK-1177","Maintenance","02_Repair_Tickets","True","True","True","True","True","10_Maintenance\02_Repair_Tickets\2026-04-01__02_Repair_Tickets_Tracker__v1.csv","True"
"TASK-1178","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1179","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1180","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1181","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1182","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1183","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1184","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1185","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1186","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1187","Maintenance","04_Asset_Register","True","True","True","True","True","10_Maintenance\04_Asset_Register\2026-04-01__04_Asset_Register_Tracker__v1.csv","True"
"TASK-1188","Maintenance","05_Utilities_Systems","True","True","True","True","True","10_Maintenance\05_Utilities_Systems\2026-04-01__05_Utilities_Systems_Tracker__v1.csv","True"
"TASK-1189","Maintenance","05_Utilities_Systems","True","True","True","True","True","10_Maintenance\05_Utilities_Systems\2026-04-01__05_Utilities_Systems_Tracker__v1.csv","True"
"TASK-1190","Maintenance","05_Utilities_Systems","True","True","True","True","True","10_Maintenance\05_Utilities_Systems\2026-04-01__05_Utilities_Systems_Tracker__v1.csv","True"
"TASK-1191","Maintenance","05_Utilities_Systems","True","True","True","True","True","10_Maintenance\05_Utilities_Systems\2026-04-01__05_Utilities_Systems_Tracker__v1.csv","True"
