Room,Item,Quantity,Vendor,Estimated_Cost,Actual_Cost,Status,Design_Spec_Reference,Source_File,Notes
Great Room,L-Sectional Sofa,1,FB Marketplace,600,,Selected,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Min 110" length required
Kitchen,Counter Bar Stools,4,FB Marketplace,200,,Selected,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Max 18" width for 142" island
Primary Bedroom,Solid Wood King Frame,1,FB Marketplace,300,,Selected,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Target MCM or Modern Rustic
Primary Bedroom,King Mattress,1,Retail (New),800,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Hybrid preferred
Den,Queen Sleeper Sofa,1,FB Marketplace,400,,Selected,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Check mechanism integrity
Great Room,Area Rug (10x14),1,Estate Sale,300,,Selected,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,High contrast woven preferred
Dining,Solid Wood Dining Table,1,Estate Sale,250,,Selected,UNKNOWN,02_Inventory_Master_Plan/2026-04-01__01_Inventory_Master_Tracker__v1.csv,Seats 6-8 for group stay
Primary Bedroom,Solid Wood Dresser,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Verify 48" clearance
Primary Bedroom,Leather Accent Chair,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Place in 42" corner pocket
Primary Bedroom,Hospitality Linens (Set),2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Triple-sheet standard
Primary Bedroom,Firm Pillows,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Hospitality grade
Primary Bedroom,Soft Pillows,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Hospitality grade
Primary Bedroom,Blackout Curtains,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Floor-to-ceiling wrap around
Primary Bedroom,USB Charging Lamps,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Dual USB-A/C ports
Primary Bedroom,30" Nightstands,2,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Character wood preferred
Primary Bedroom,Luggage Racks,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Foldable storage in closet
Primary Bedroom,50" Smart TV,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__01_Primary_Bedroom_Layout_Guide__v1.md,Guest Mode enabled
Great Room,Swivel Chairs,2,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Support TV and conversation
Great Room,High-End Console,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,For Zone B vignette
Great Room,Circular Coffee Table,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Oak or Stone preferred
Great Room,80" Media Console,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,25% wider than TV
Great Room,Arched Floor Lamp,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Vertical balance moment
Great Room,Smart Soundbar,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__04_Great_Room_Layout_Guide__v1.md,Sonos equivalent
Kitchen,Large Island Pendants,3,Retail (New),,,Needed,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,Scaled to 142" island
Kitchen,Dual-Bin Trash/Recycling,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__05_Kitchen_Layout_Guide__v1.md,STR standard
Den,48" Desk,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Built-in feel corner unit
Den,Ergonomic Task Chair,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Upholstered performance chair
Den,8x10 High-Pile Rug,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__10_Den_Layout_Guide__v1.md,Sound absorption priority
Secondary Bedroom 2,Queen Bed Frame,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,MCM or Modern Rustic
Secondary Bedroom 2,Queen Mattress,1,Retail (New),,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Hybrid preferred
Secondary Bedroom 2,Storage Bench,1,FB Marketplace,,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Foot of bed
Secondary Bedroom 2,Swing-Arm Sconces,2,Retail (New),,,Needed,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,02_Interior_Design/2026-04-01__08_Secondary_Bedroom_2_Layout_Guide__v1.md,Brushed Gold/Brass finish
