Asset,Room,Purchase_Date,Expected_Lifespan,Replacement_Date_Estimate,Condition_Status,Notes
Main HVAC Unit,Systems,2026-04-01,15 years,2041-04-01,Good,Core comfort system
Dishwasher,Kitchen,2026-04-01,10 years,2036-04-01,Good,Linked to RPR-001 history
Primary Bathroom Faucet Assembly,Primary Bathroom,2026-04-01,7 years,2033-04-01,Fair,Monitor pressure consistency
Main Entry Smart Lock,Entry,2026-04-01,4 years,2030-04-01,Good,Battery check quarterly
Water Heater,Utility,2026-04-01,12 years,2038-04-01,Good,Annual flush and valve inspection
Smoke and CO Alarm Set,Whole Home,2026-04-01,10 years,2036-04-01,Good,Test monthly replace batteries as needed
Fire Extinguisher,Kitchen/Utility,2026-04-01,10 years,2036-04-01,Good,Gauge and expiration check monthly
Patio Fire Pit,Covered Patio,2026-04-01,6 years,2032-04-01,Good,Clean burner ports monthly
Primary Mattress,Primary Bedroom,2026-04-01,7 years,2033-04-01,Good,Rotate per linen care schedule
Sleeper Sofa,Den,2026-04-01,8 years,2034-04-01,Fair,Linked to RPR-003